Word,Kata Muncul,IDF Divider
cuy,3,6.907755278982137
gerbang,3,6.907755278982137
kenpa,1,8.006367567650246
mantul,11,5.608472294851876
wihhh,1,8.006367567650246
dongeng,1,8.006367567650246
tebar,1,8.006367567650246
persis,3,6.907755278982137
negri,2,7.313220387090301
dingin,15,5.298317366548036
lokal,15,5.298317366548036
mancanegara,3,6.907755278982137
istimewa,8,5.926926025970411
pantura,7,6.060457418594933
ramenya,1,8.006367567650246
weekdays,2,7.313220387090301
rekomendasi,15,5.298317366548036
mantab,15,5.298317366548036
bngt,4,6.620073206530356
dua,4,6.620073206530356
banyak,16,5.233778845410465
turun,24,4.8283137373023015
supermantap,1,8.006367567650246
gelap,4,6.620073206530356
magrip,1,8.006367567650246
terang,2,7.313220387090301
perhati,24,4.8283137373023015
mohon,3,6.907755278982137
padah,2,7.313220387090301
tunggang,1,8.006367567650246
fav,2,7.313220387090301
jejer,2,7.313220387090301
skitar,1,8.006367567650246
masyarakat,21,4.961845129926823
termakuk,1,8.006367567650246
hilang,11,5.608472294851876
unik,50,4.0943445622221
penat,9,5.809142990314028
lomba,2,7.313220387090301
ajak,5,6.396929655216146
ken,11,5.608472294851876
adakan,1,8.006367567650246
seruuu,1,8.006367567650246
manta,1,8.006367567650246
bagussss,3,6.907755278982137
pntai,2,7.313220387090301
p,2,7.313220387090301
toiletny,1,8.006367567650246
ditambahin,1,8.006367567650246
kerennnn,1,8.006367567650246
super,4,6.620073206530356
bnayak,1,8.006367567650246
saudara,2,7.313220387090301
laki,2,7.313220387090301
syukaa,1,8.006367567650246
rindu,1,8.006367567650246
mantan,2,7.313220387090301
bakar,53,4.036075654098125
malam,60,3.912023005428146
ajaib,10,5.703782474656201
hangat,9,5.809142990314028
api,154,2.9694149652366177
biru,21,4.961845129926823
merah,4,6.620073206530356
padam,73,3.7159081265018554
jagung,40,4.31748811353631
potensial,5,6.396929655216146
abadi,28,4.674163057475043
tulis,5,6.396929655216146
kreatif,2,7.313220387090301
nyala,31,4.5723803631651005
fenomena,14,5.367310238034988
terus,3,6.907755278982137
pdhl,2,7.313220387090301
dipagerin,2,7.313220387090301
tempt,1,8.006367567650246
belanja,10,5.703782474656201
instragamable,1,8.006367567650246
mushola,19,5.061928588483807
nusantara,4,6.620073206530356
kuasa,20,5.0106352940962555
limpah,3,6.907755278982137
kaya,9,5.809142990314028
tuhan,12,5.521460917862246
sebut,2,7.313220387090301
jeng,1,8.006367567650246
tlanakan,3,6.907755278982137
andal,6,6.214608098422191
daerak,1,8.006367567650246
motor,36,4.422848629194137
ponaan,1,8.006367567650246
gratis,15,5.298317366548036
allah,44,4.222177933731985
go,1,8.006367567650246
idzin,1,8.006367567650246
cipta,16,5.233778845410465
hidup,5,6.396929655216146
fenomenal,1,8.006367567650246
titik,7,6.060457418594933
aneka,3,6.907755278982137
barang,3,6.907755278982137
lindung,1,8.006367567650246
lbh,12,5.521460917862246
dsini,4,6.620073206530356
pesan,19,5.061928588483807
rada,2,7.313220387090301
gerimis,4,6.620073206530356
kdatangan,1,8.006367567650246
hasil,19,5.061928588483807
nawar,2,7.313220387090301
biar,28,4.674163057475043
fokus,1,8.006367567650246
alat,3,6.907755278982137
souvenir,9,5.809142990314028
pinter,6,6.214608098422191
pakai,44,4.222177933731985
tani,1,8.006367567650246
buah,7,6.060457418594933
kembang,21,4.961845129926823
dalem,4,6.620073206530356
panggang,1,8.006367567650246
kandang,1,8.006367567650246
tukang,15,5.298317366548036
sok,4,6.620073206530356
belah,13,5.44141821018871
kiri,7,6.060457418594933
jago,3,6.907755278982137
puluh,2,7.313220387090301
skali,1,8.006367567650246
ber,3,6.907755278982137
it,9,5.809142990314028
worth,8,5.926926025970411
kobar,2,7.313220387090301
antusias,1,8.006367567650246
saksi,2,7.313220387090301
sekitar,9,5.809142990314028
pikir,11,5.608472294851876
petis,3,6.907755278982137
lubabul,1,8.006367567650246
maha,5,6.396929655216146
fattah,1,8.006367567650246
rombong,15,5.298317366548036
pondok,4,6.620073206530356
homestay,5,6.396929655216146
objek,14,5.367310238034988
rumah,20,5.0106352940962555
pahar,1,8.006367567650246
muncul,5,6.396929655216146
jaguung,1,8.006367567650246
padaam,1,8.006367567650246
poolll,1,8.006367567650246
pegang,3,6.907755278982137
percaya,3,6.907755278982137
uang,18,5.115995809754082
dewasa,3,6.907755278982137
rasa,11,5.608472294851876
sembarang,9,5.809142990314028
debu,33,4.509860006183766
tuju,10,5.703782474656201
belnja,1,8.006367567650246
berekspektasi,2,7.313220387090301
rencana,3,6.907755278982137
ucap,2,7.313220387090301
usia,2,7.313220387090301
sentuh,7,6.060457418594933
kepala,3,6.907755278982137
kesan,17,5.173154223594031
klok,1,8.006367567650246
semua,1,8.006367567650246
sisi,6,6.214608098422191
g,12,5.521460917862246
rebus,3,6.907755278982137
guna,2,7.313220387090301
perlu,2,7.313220387090301
hari,4,6.620073206530356
habis,20,5.0106352940962555
masak,11,5.608472294851876
preman,9,5.809142990314028
oknum,4,6.620073206530356
gang,4,6.620073206530356
manfaat,7,6.060457418594933
obyek,9,5.809142990314028
dekat,5,6.396929655216146
baguss,8,5.926926025970411
salam,2,7.313220387090301
beneran,2,7.313220387090301
gosok,2,7.313220387090301
dihimpit,1,8.006367567650246
zaman,3,6.907755278982137
benderang,1,8.006367567650246
sovenir,4,6.620073206530356
lekang,1,8.006367567650246
ubah,10,5.703782474656201
